probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
312,125,176,0,0.722656,0.408035,0.365005,0.182385,0.48,1.42,0,15
313,120,176,0,0.722656,0.295957,0.267743,0.126113,0.44,0.98,0,8
314,119,176,0,0.722656,0.333884,0.294528,0.157262,0.47,1.10,0,9
315,117,176,0,0.722656,0.302008,0.273762,0.127527,0.50,1.20,0,10
316,116,176,0,0.722656,0.545418,0.475410,0.267330,0.55,1.34,0,11
317,125,176,0,0.722656,0.275148,0.251235,0.112194,0.50,1.45,0,12
318,125,176,0,0.722656,0.286394,0.250030,0.139667,0.53,1.60,0,13
319,129,176,0,0.722656,0.258322,0.223620,0.129323,0.49,1.70,0,14
320,122,176,0,0.722656,0.500757,0.455557,0.207909,0.57,1.85,0,15
321,122,176,0,0.722656,0.283192,0.257659,0.117514,0.44,1.11,0,10
322,128,176,0,0.722656,0.266591,0.240739,0.114522,0.39,1.19,0,11
323,108,176,0,0.722656,0.502429,0.448347,0.226760,0.55,1.32,0,12
324,126,176,0,0.722656,0.286997,0.263804,0.113025,0.45,1.41,0,13
325,114,176,0,0.722656,0.334799,0.302671,0.143111,0.55,1.53,0,14
326,119,176,0,0.722656,0.388083,0.349721,0.168238,0.59,1.68,0,15
327,128,176,0,0.722656,0.278457,0.250744,0.121101,0.45,1.35,0,15
328,124,176,0,0.722656,0.379513,0.341844,0.164843,0.41,0.87,0,7
329,130,176,0,0.722656,0.274354,0.248169,0.116972,0.39,0.96,0,8
330,119,176,0,0.722656,0.383459,0.332368,0.191239,0.45,1.06,0,9
331,126,176,0,0.722656,0.349136,0.314757,0.151076,0.45,1.20,0,10
332,119,176,0,0.722656,0.664191,0.587102,0.310581,0.52,1.34,0,11
333,127,176,0,0.722656,0.322036,0.287980,0.144135,0.49,1.47,0,12
334,135,176,0,0.722656,0.218023,0.190684,0.105704,0.47,1.60,0,13
335,117,176,0,0.722656,0.311814,0.279880,0.137461,0.59,1.74,0,14
336,114,176,0,0.722656,0.350591,0.321103,0.140735,0.66,1.90,0,15
337,130,176,0,0.722656,0.336101,0.304766,0.141709,0.47,1.65,0,14
